localidad;temperatura;ppm;pb_final-inicial;vol_f-i;largo_f-i;ancho_f-i;alto_f-i;pt_f-i;mdc_f;peso_seco_de_la_concha;volumen_cm;pseco_mb;p_ldc;r2;pendiente;extension_max;carga_max;ph_promedio_25C;salinidad;temperatura ;alcalinidad_total ;pCO2;calcita;aragonita;pendiente;R2;ml/g_l_h_14C;mgo2_h_g_1;lat/min;modulo_elastico;estres_max;presion_Max;r2;a;b;c;d;e;f;g
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quintay;10°C;500ppm;-0.007;-173.223;0.05;0.24;0.01;0.288;0.624;0.586;-1.732;0.023;0.004;0.96;275.93;0.175;48.73;799.475;32.425;10.75;2.341.210.252;2.845.317.768;2.852.151.616;1.782.977.997;0.009;0.834;0.004;0.011;18.264;201.099;11.923;0.061;0.96;1.442.407;1.447.657;1.485.222;1.468.945;1.524.268;1.529.972;1.485.222
Quintay;10°C;500ppm;-0.001;94.67;-0.02;0.03;-0.2;0.18;0.57;0.392;0.947;0.018;0.004;0.938;244.44;0.367;86.374;799.475;32.425;10.75;2.282.585.588;2.773.394.006;277.785.532;1.736.532.829;0.005;0.753;0.002;0.01;25.212;145.822;10.054;0.07;0.991;1.416.581;1.357.358;1.288.409;1.357.358;1.406.444;1.518.596;1.507.348
Quintay;10°C;500ppm;0.034;-585.39;-0.2;0.63;0.6;0.058;0.558;0.309;-5.854;0.017;0.003;0.949;733.95;0.204;134.839;8.018.375;32.8;10.5;2.400.913.065;2.761.856.477;306.737.586;1.919.238.755;0.037;0.77;0.017;0.093;15.672;313.203;90.082;0.298;0.968;1.683.645;1.710.369;1.644.718;1.737.735;na;1.613.301;1.696.928
Quintay;15°C;1500ppm;0.019;-845.718;-0.55;0.67;0.34;0.194;0.586;0.456;-8.457;0.026;0.005;0.954;727.94;0.2;132.209;7.746.375;31.725;15.5;2.277.701.648;4.437.929.771;1.875.063.228;1.170.069.126;0.018;0.972;0.008;0.029;30.684;58.503;5.409;0.083;0.933;1.677.062;2.016.597;1.884.937;2.162.549;2.016.597;2.201.513;2.282.668
Quintay;10°C;500ppm;-0.002;-87.982;-0.42;0.04;0.18;0.029;na;na;-0.88;na;na;na;na;na;na;8.018.375;32.8;10.5;2.390.886.986;2.750.205.135;3.054.040.667;1.910.895.004;0.005;0.762;0.002;0.04;15.708;na;na;na;na;na;na;na;na;na;na;na
Quintay;15°C;1500ppm;0.027;-336.531;0.34;0.42;0.31;0.042;0.426;0.377;-3.365;0.021;0.004;0.992;233.22;0.212;44.256;7.746.375;31.725;15.5;2.270.273.438;4.423.423.693;1.868.753.247;1.166.131.598;0.026;0.979;0.012;0.051;37.488;236.937;186.598;0.799;0.996;1.600.986;1.772.875;1861.69;1.582.776;1.490.707;1.737.735;1.751.664
Quintay;15°C;1500ppm;0.056;-259.472;-0.03;0;0.39;0.163;0.486;0.326;-2.595;0.023;0.004;0.99;440.85;0.21;84.665;784.275;32.225;15.4;2.326.660.171;3.511.568.631;2.381.293.275;1.487.890.545;0.016;0.962;0.007;0.038;24.072;326.704;133.914;0.422;0.98;1.485.222;1.426.827;1421.69;1.564.875;1.529.972;1.347.849;1.333.772
Quintay;10°C;1500ppm;0.03;-1350.91;-2.31;-0.08;0.75;0.116;0.54;0.458;-13.509;0.033;0.005;0.979;519.44;0.17;77.752;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265;na;na;na;na;39.324;136.01;19.798;0.143;0.99;1.535.707;1.431.992;1.644.718;1.723.971;1.900.678;1.869.391;1877.14
Quintay;15°C;1500ppm;0.017;-2.737;0.37;0.3;-0.04;0.089;0.35;0.126;-0.027;0.009;0.003;0.943;337.85;0.185;60.829;784.275;32.225;15.4;2.327.863.037;3.513.387.897;2.382.572.572;1.488.689.882;0.011;0.9;0.005;0.065;22.2;111.306;8.638;0.072;0.985;1.744.679;1.758.692;1.838.871;1.999.398;1787.23;1.801.761;1.657.543
Quintay;10°C;500ppm;0;-76.294;0.06;0.15;0;0.244;0.498;0.461;-0.763;0.028;0.006;0.905;357.77;0.428;141.989;80.905;31.75;10.8;230.964.649;2.179.546.659;338.230.452;2.110.752.232;0.01;0.807;0.005;0.016;38.724;287.112;254.372;0.927;0.965;1.452.935;1.541.475;1.541.475;1.391.442;1.644.718;1.452.935;1.426.827
Quintay;15°C;1500ppm;-0.001;-173.047;-0.02;0.62;-0.32;0.155;0.634;0.671;-1.73;0.033;0.005;0.988;469.91;0.59;285.658;7.777.375;31.475;16;2.336.868.346;4.122.151.713;2.086.260.747;1.300.978.001;0.017;0.75;0.008;0.019;33.612;291.732;190.422;0.674;0.978;1.535.707;1.485.222;1.442.407;1.442.407;1.600.986;1.683.645;1.570.808
