Localidad	Temperatura	ppm	Peso_bollante	Volumen cm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Peso_seco_concha	Pseco_mb	Peso_libre_ceniza	r3	pendiente	extensión_max	carga_max	ph Promedio (25°C)	Salinidad	Temperatura 	Alcalinidad_total (µmol kg-1)	pCO2 (µatm)	Ωcalcita	Ωaragonita
Quintay	10°C	500ppm	-0.0067	-1.732228226	0.050	0.240	0.010	0.288	0.624	0.586	0.0232	0.0039	0.9596	276	0.17547	49	7.99475	32.425	10.75	2341.210252	284.5317768	2.852151616	1.782977997
Quintay	10°C	500ppm	-0.0008	0.946700119	-0.020	0.030	-0.200	0.180	0.570	0.392	0.0182	0.004	0.9384	244	0.36688	86	7.99475	32.425	10.75	2282.585588	277.3394006	2.77785532	1.736532829
Quintay	10°C	500ppm	0.0339	-5.85390066	-0.200	0.630	0.600	0.058	0.558	0.309	0.0165	0.0028	0.9493	734	0.20375	135	8.018375	32.8	10.5	2400.913065	276.1856477	3.06737586	1.919238755
Quintay	15°C	1500ppm	0.0188	-8.45717552	-0.550	0.670	0.340	0.194	0.586	0.456	0.0256	0.0048	0.954	728	0.19968	132	7.746375	31.725	15.5	2277.701648	443.7929771	1.875063228	1.170069126
Quintay	15°C	1500ppm	0.0269	-3.365306974	0.340	0.420	0.310	0.042	0.426	0.377	0.0211	0.0042	0.9919	233	0.21172	44	7.746375	31.725	15.5	2270.273438	442.3423693	1.868753247	1.166131598
Quintay	15°C	1500ppm	0.0555	-2.594715136	-0.030	0.000	0.390	0.163	0.486	0.326	0.0231	0.0041	0.9898	441	0.21047	85	7.84275	32.225	15.4	2326.660171	351.1568631	2.381293275	1.487890545
Quintay	10°C	1500ppm	0.0302	-13.50909916	-2.310	-0.080	0.750	0.116	0.540	0.458	0.0327	0.0052	0.9793	519	0.17016	78	7.651	32.575	10.6	1983.423193	591.424838	1.13813882	0.711748265
Quintay	15°C	1500ppm	0.0169	-0.027367738	0.370	0.300	-0.040	0.089	0.350	0.126	0.0085	0.0028	0.9429	338	0.18515	61	7.84275	32.225	15.4	2327.863037	351.3387897	2.382572572	1.488689882
Quintay	10°C	500ppm	-0.0003	-0.76294464	0.060	0.150	0.000	0.244	0.498	0.461	0.0275	0.0062	0.9046	358	0.42765	142	8.0905	31.75	10.8	2309.64649	217.9546659	3.38230452	2.110752232
Quintay	15°C	1500ppm	-0.0012	-1.730469323	-0.020	0.620	-0.320	0.155	0.634	0.671	0.0327	0.0049	0.9876	470	0.59016	286	7.777375	31.475	16	2336.868346	412.2151713	2.086260747	1.300978001
Quintay	10°C	1500ppm	0.0256	-5.613664954	0.240	0.690	0.440	0.087	0.640	0.443	0.0188	0.0029	0.9669	444	0.21062	81	7.81375	32.925	10.5	2316.039204	455.2422177	1.921871781	1.202850371
Quintay	15°C	1500ppm	-0.0047	-5.131702502	-0.220	0.280	0.550	0.136	0.458	0.272	0.0141	0.0027	0.898	449	0.15797	69	7.777375	31.475	16	2292.987167	404.4643007	2.045749608	1.275715531
Quintay	15°C	1500ppm	0.0167	0.133799461	-0.090	-0.210	0.070	0.049	0.308	0.087	0.0112	0.0064	0.9784	306	0.15718	44	7.70775	32.2	15.3	1888.990896	408.9829015	1.421236802	0.887967852
Quintay	15°C	1500ppm	0.0194	-8.40462381	-0.540	0.100	0.750	0.056	0.616	0.551	0.0268	0.0059	0.9835	343	0.32688	110	7.70775	32.2	15.3	1916.529263	414.9753435	1.44265605	0.901350283
Quintay	15°C	1500ppm	0.0238	-12.37947211	-1.370	0.420	1.130	0.092	0.576	0.323	0.0158	0.0025	0.9837	434	0.20156	78	7.840125	31.625	16	2136.018581	318.4367791	2.184942486	1.363072499
Quintay	15°C	1500ppm	0.0117	-6.507146846	-0.250	0.820	0.450	0.070	0.640	0.317	0.017	0.0025	0.9716	533	0.10953	53	7.840125	31.625	16	2092.066811	311.867913	2.138103564	1.33385212
Quintay	15°C	1500ppm	0.0306	1.766874316	0.170	-0.280	-0.380	0.092	0.516	0.124	0.0051	0.0007	0.9801	362	0.14781	48	7.73025	32.35	15.4	2021.101059	410.4828725	1.612205755	1.007659412
Quintay	15°C	500ppm	0.0089	6.223554355	0.100	0.170	-1.120	0.142	0.424	0.360	0.0143	0.0032	0.9239	410	0.2564	109	8.043625	32	15	2264.615624	202.6174971	3.452765591	2.156137053
Quintay	15°C	500ppm	0.0135	-0.488391455	-0.440	0.230	-0.250	0.062	0.302	0.146	0.0087	0.0011	0.9022	312	0.0925	28	8.019875	32.4	15.23	2358.29767	222.2844107	3.482423185	2.176849055
Quintay	10°C	1500ppm	0.0259	-12.01480892	-1.000	1.070	0.250	0.113	0.432	0.410	0.0301	0.0046	0.9436	455	0.15876	69	7.6595	32.025	10.9	2297.232755	665.964527	1.346773574	0.841069432
Quintay	15°C	500ppm	0.0243	-6.580052371	-0.430	0.290	0.380	0.155	0.696	0.725	0.0264	0.0046	0.9994	609	0.33578	197	8.1435	31.05	15.8	2349.646771	155.4958367	4.403017391	2.742406012
Quintay	15°C	500ppm	-0.003	1.797430954	-0.020	-0.080	-0.270	0.084	0.632	0.465	0.0132	0.0032	0.8415	132	0.54328	80	7.9425	32.375	15.2	2282.672244	265.649682	2.870471542	1.794210209
Quintay	10°C	1500ppm	0.0135	-15.63355057	-3.120	0.620	1.620	0.026	0.422	0.223	0.0106	0.0023	0.9856	445	0.16094	65	7.640625	32.825	10.4	1891.297183	582.2347733	1.057160004	0.661497101
Quintay	15°C	500ppm	0.016	-4.955175219	-0.220	0.010	0.680	0.182	0.464	0.324	0.0164	0.0038	0.9847	207	0.11547	23	8.1435	31.05	15.8	2349.646771	155.4958367	4.403017391	2.742406012
Quintay	15°C	500ppm	-0.0036	-3.72137414	-0.400	1.220	-0.150	-0.001	0.500	0.170	0.0098	0.002	0.8529	287	0.22203	68	7.9425	32.375	15.2	2282.672244	265.649682	2.870471542	1.794210209
Quintay	10°C	500ppm	0.0357	-4.875731042	0.340	0.340	0.640	0.145	0.648	0.498	0.0227	0.0044	0.9192	613	0.18859	107	8.0905	31.75	10.8	2377.678283	224.4554512	3.486575124	2.175823076
Quintay	15°C	500ppm	0.0181	-7.939821082	-0.460	0.600	0.320	0.096	0.716	0.548	0.0293	0.005	0.9931	527	0.28328	138	8.0455	31.825	15.8	1931.834259	166.2580977	2.993171672	1.868282312
