Localidad	Temperatura_meso	ppm	Largo	Ancho 	Alto	Peso_total	Margen_crecimiento	Rigidez	Peso_seco_concha	nano_indentacion	Modulo_elastico	Estres_max	Presion_max
Quintay	10°C	500ppm	0.050	0.240	0.010	0.288	0.624	275.930	0.586	1483	201.099	11.923	0.061
Quintay	10°C	500ppm	-0.020	0.030	-0.200	0.180	0.570	244.440	0.392	0.392	145.822	10.054	0.070
Quintay	10°C	500ppm	-0.200	0.630	0.600	0.058	0.558	733.950	0.309	0.309	313.203	90.082	0.298
Quintay	15°C	1500ppm	-0.550	0.670	0.340	0.194	0.586	727.940	0.456	0.456	58.503	5.409	0.083
Quintay	15°C	1500ppm	-0.030	0.000	0.390	0.163	0.486	233.220	0.377	0.377	236.937	186.598	0.799
Quintay	15°C	1500ppm	0.370	0.300	-0.040	0.089	0.350	440.850	0.326	0.326	326.704	133.914	0.422
Quintay	10°C	500ppm	0.060	0.150	0.000	0.244	0.498	519.440	0.458	0.458	136.010	19.798	0.143
Quintay	15°C	1500ppm	-0.020	0.620	-0.320	0.155	0.634	337.850	0.126	0.126	111.306	8.638	0.072
Quintay	10°C	1500ppm	0.240	0.690	0.440	0.087	0.640	357.770	0.461	0.461	287.112	254.372	0.927
Quintay	15°C	1500ppm	-0.220	0.280	0.550	0.136	0.458	469.910	0.671	0.671	291.732	190.422	0.674
Quintay	15°C	1500ppm	-0.090	-0.210	0.070	0.049	0.308	444.060	0.443	0.443	167.653	145.766	0.864
Quintay	15°C	1500ppm	-0.540	0.100	0.750	0.056	0.616	448.500	0.272	0.272	383.206	199.070	0.532
Quintay	15°C	1500ppm	-1.370	0.420	1.130	0.092	0.576	305.560	0.087	0.087	106.906	14.473	0.131
Quintay	15°C	1500ppm	-0.250	0.820	0.450	0.070	0.640	342.850	0.551	0.551	260.398	31.422	0.129
Quintay	15°C	1500ppm	0.170	-0.280	-0.380	0.092	0.516	434.070	0.323	0.323	335.355	393.647	1.199
Quintay	15°C	500ppm	0.100	0.170	-1.120	0.142	0.424	533.270	0.317	0.317	354.475	152.691	0.444
Quintay	15°C	500ppm	-0.440	0.230	-0.250	0.062	0.302	362.390	0.124	0.124	322.429	105.915	0.354
Quintay	10°C	1500ppm	-1.000	1.070	0.250	0.113	0.432	410.290	0.360	0.360	354.738	324.988	0.964
Quintay	15°C	500ppm	-0.430	0.290	0.380	0.155	0.696	312.140	0.146	0.146	176.976	69.160	0.419
Quintay	15°C	500ppm	-0.020	-0.080	-0.270	0.084	0.632	455.210	0.410	0.410	67.874	5.241	0.071
Quintay	10°C	1500ppm	-3.120	0.620	1.620	0.026	0.422	609.140	0.725	0.725	439.669	231.769	0.543
Quintay	15°C	500ppm	-0.220	0.010	0.680	0.182	0.464	131.930	0.465	0.465	180.824	31.796	0.186
Quintay	15°C	500ppm	-0.400	1.220	-0.150	-0.001	0.500	445.140	0.223	0.223	163.564	49.282	0.310
Quintay	10°C	500ppm	0.340	0.340	0.640	0.145	0.648	207.470	0.324	0.324	178.879	17.140	0.099
Quintay	15°C	500ppm	-0.460	0.600	0.320	0.096	0.716	286.820	0.170	0.170	272.180	298.081	1.115
Quintay	15°C	500ppm	0.290	0.270	0.690	0.023	0.892	612.510	0.498	0.498	281.507	123.140	0.430
Quintay	10°C	1500ppm	0.010	0.770	0.390	0.173	0.702	527.060	0.548	0.548	257.665	31.891	0.125
Quintay	10°C	1500ppm	0.140	-0.040	0.100	0.120	0.468	322.670	0.488	0.488	344.198	226.073	0.675
Quintay	10°C	500ppm	-0.190	0.110	0.220	0.033	0.346	225.470	0.539	0.539	315.878	96.247	0.318
Quintay	15°C	500ppm	-0.860	-0.310	1.320	0.122	0.390	425.580	0.366	0.366	170.089	11.180	0.065
Quintay	10°C	1500ppm	-3.190	0.400	0.620	0.107	0.490	409.070	0.066	0.066	150.889	9.930	0.065
Quintay	15°C	500ppm	1.590	0.190	1.660	-0.083	0.358	180.070	0.254	0.254	121.467	9.759	0.077
Quintay	10°C	500ppm	-0.040	-0.090	0.150	0.230	0.582	415.520	0.206	0.206	297.927	74.285	0.268
Quintay	10°C	500ppm	0.220	0.100	0.590	0.107	0.584	536.080	0.216	0.216	354.755	426.934	1.234
Quintay	10°C	1500ppm	-0.070	-0.090	0.380	0.090	0.540	156.060	0.594	0.594	380.575	121.267	0.332
Quintay	10°C	1500ppm	0.150	-0.160	0.830	0.196	0.414	600.960	0.399	0.399	353.596	251.485	0.734
